learner_id,step,week_number,step_number,first_visited_at,last_completed_at
9c9b8fc8-5922-403f-8a7e-9e5e2dedb689,1.1,1,1,2017-09-18 04:32:33 UTC,2017-09-18 04:38:24 UTC
32a8e7aa-004d-462a-b8c1-6e1da008b44a,1.1,1,1,2017-09-18 04:33:20 UTC,2017-09-21 09:12:08 UTC
4e01329f-da0c-4db7-b36a-f822ff197838,1.1,1,1,2017-09-18 04:35:36 UTC,2017-09-18 04:37:57 UTC
0b85a25f-679e-4114-b9e3-a0b8765e1c21,1.1,1,1,2017-09-18 04:44:38 UTC,2017-09-18 04:47:12 UTC
f1b6661a-a82b-4df8-beb4-e77ead38a75d,1.1,1,1,2017-09-18 05:00:57 UTC,2017-09-18 05:03:15 UTC
7e702364-8879-450b-b51a-73c996c4fb2a,1.1,1,1,2017-09-18 05:07:52 UTC,2017-09-18 05:11:58 UTC
40cc9b23-5daf-4185-b224-b780c8ccf39a,1.1,1,1,2017-09-18 05:12:33 UTC,
9beea548-17d7-42e7-b6ee-984beb50f786,1.1,1,1,2017-09-18 05:13:50 UTC,2017-09-18 05:18:03 UTC
ff3c38fd-cfeb-476f-b480-4bf2ccfca7b6,1.1,1,1,2017-09-18 05:32:13 UTC,2017-09-18 05:32:26 UTC
3454a158-75fc-4c75-9403-69ca70c2b8f3,1.1,1,1,2017-09-18 05:35:12 UTC,2017-09-18 06:47:38 UTC
a0d3ba93-6166-4504-8b81-a99f5ba0f318,1.1,1,1,2017-09-18 05:43:09 UTC,2017-09-19 03:45:39 UTC
184bc85f-b7ec-4221-86b1-25657f8da8ba,1.1,1,1,2017-09-18 05:57:55 UTC,2017-09-18 06:00:29 UTC
eb45ed32-8373-4698-ad0e-20768efc3686,1.1,1,1,2017-09-18 06:00:41 UTC,2017-09-18 06:03:10 UTC
9c66edee-0455-4bbd-9367-44f6f6ec9545,1.1,1,1,2017-09-18 06:05:32 UTC,2017-09-18 06:07:51 UTC
ff46350e-dcc9-40b8-9cad-3f3fcdbd0656,1.1,1,1,2017-09-18 06:08:00 UTC,2017-09-18 06:13:47 UTC
bd7d8035-e54f-4db0-8582-77c3f0f6328a,1.1,1,1,2017-09-18 06:08:01 UTC,2017-09-18 06:09:23 UTC
